Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
6868.0,Closed,19-05-2021 11:04,19-05-2021 01:39
6877.0,Closed,19-05-2021 11:05,18-05-2021 19:24
6900.0,Closed,19-05-2021 11:10,19-05-2021 05:30
6903.0,Closed,18-05-2021 21:04,18-05-2021 19:24
6904.0,Closed,21-05-2021 20:19,19-05-2021 19:11
6905.0,Closed,20-05-2021 15:16,19-05-2021 17:16
6913.0,Closed,19-05-2021 11:12,18-05-2021 20:56
6918.0,Closed,19-05-2021 10:12,18-05-2021 19:25
6919.0,Resolved,18-05-2021 21:58,18-05-2021 21:16
6914.0,Closed,20-05-2021 11:31,18-05-2021 19:24
6925.0,Closed,18-05-2021 20:33,18-05-2021 20:33
6923.0,Closed,20-05-2021 11:31,19-05-2021 01:26
6930.0,Closed,19-05-2021 11:14,18-05-2021 20:46
6950.0,Closed,20-05-2021 21:34,18-05-2021 23:25
6956.0,Closed,20-05-2021 11:32,19-05-2021 22:05
6968.0,Closed,19-05-2021 21:04,19-05-2021 18:18
6982.0,Re-opened,-,19-05-2021 21:11
6985.0,Closed,20-05-2021 11:33,19-05-2021 22:08
6999.0,Deleted,19-05-2021 13:33,
7000.0,Closed,19-05-2021 23:05,19-05-2021 18:50
7004.0,Closed,19-05-2021 23:05,19-05-2021 14:04
7023.0,Closed,20-05-2021 13:30,19-05-2021 23:10
7041.0,Deleted,19-05-2021 20:52,
7047.0,Deleted,19-05-2021 19:44,
7060.0,Closed,19-05-2021 22:18,19-05-2021 21:05
7091.0,Closed,20-05-2021 13:08,20-05-2021 13:08
7094.0,Closed,21-05-2021 10:17,20-05-2021 15:26
7103.0,Closed,20-05-2021 13:07,20-05-2021 13:07
7137.0,Closed,21-05-2021 17:54,20-05-2021 20:43
7144.0,Closed,20-05-2021 21:44,20-05-2021 19:17
7154.0,Closed,20-05-2021 21:33,20-05-2021 20:14
6411.0,Closed,17-05-2021 22:19,14-05-2021 11:54
6415.0,Duplicate,14-05-2021 11:23,
6419.0,Closed,16-05-2021 12:13,14-05-2021 11:47
